-834.509394088644,-13577.3987404676,-77.0866473849007,1969.348
-894.155086974613,-13778.6206146693,-92.7051193849012,1968.785
-903.228429938899,-13972.9963531839,-93.7017263849015,1968.8
-1090.28634481574,-13789.0334363114,-96.6904593849012,1969.234
-1105.13751441753,-13496.3050958784,-96.2180503849007,1969.829
-857.339694592985,-13453.1892242413,-68.4071593849006,1969.731
-776.387670921278,-13726.8155435165,-82.6357033849013,1968.967
-538.700164957205,-13813.0639167959,-76.1996783849011,1969.425
-999.080400749226,-13214.1463328954,-89.9449043849012,1970.506
-1081.06865290797,-12946.7973501757,-69.0783673849006,1971.346
-705.161211149534,-14017.4278260898,-111.574631384901,1969.096
-848.720831053681,-13875.2627226943,-103.814367384901,0
